charity_name,campaign_name,donations_count,donation_amount,comments_count
Kampung Senang Charity & Education Foundation,Charity Fun Fair,0,0,0
Kampung Senang Charity & Education Foundation,Adopt a Care Pack. Bringing love and care to the community. ,90,7609,40
Kampung Senang Charity & Education Foundation,Play for Cause - Unity For Good Charity Carnival,68,459,8
Kampung Senang Charity & Education Foundation,Journey of Triumph - A Cancer Patient Survivor's Tale of Resilience and Hope,46,12290,23
Kampung Senang Charity & Education Foundation,Replacement of 15-year old Chairs for Eldercare Centre (20 chairs),1,10,1
Kampung Senang Charity & Education Foundation,Help Low-Income Families with Mobility Aid Needs,1,300,1
Kampung Senang Charity & Education Foundation,Kampung Senang 2023 Charity Fair,27,5505,10
Kampung Senang Charity & Education Foundation,"Care packs to provide comfort and care, GOAL: 660PACKS",54,3976,13
Kampung Senang Charity & Education Foundation,Dollar Match: Green and Healthy Charity Gala Dinner,1,3,1
Kampung Senang Charity & Education Foundation,Kampung Senang Charity Concert featuring 李荣德,29,8280,23
Kampung Senang Charity & Education Foundation,Green & Healthy Charity Fair,2,40,0
Kampung Senang Charity & Education Foundation,Dollar Match: Giving Hope & Promoting Well-Being-Virtual Flag Day Campaign 2022,39,2583,9
Kampung Senang Charity & Education Foundation,Sponsor a care pack to support a family for this CNY,5,50,0
Thong Chai Institute Of Medical Research,TCM Research and Clinical Practice Education FY2024,0,0,0
Thye Hua Kwan Moral Society,THKMS Mailer Donation Campaign,1220,84723,4
Rare Disorders Society (Singapore),Support RDSS Medical Intervention Scheme,261,9377,63
Rare Disorders Society (Singapore),Support Children Living With Rare Disorders,49,2035,13
Rare Disorders Society (Singapore),Mobilise Chloe With Your Love,33,5020,19
Rare Disorders Society (Singapore),Carry Hope 2024,65,7610,26
Care Corner Singapore Ltd,Together We RISE (I'mPossible to fight Covid-19),58,5891,18
Silver Ribbon (Singapore),Silver Ribbon: Charity Concert & Outstanding Mother Awards Ceremony 2019,2,400,2
Society for WINGS,"Embracing Life Transitions, Rising above the Challenges",0,0,0
Allkin Singapore Ltd.,BFFLs with Allkin Singapore (Brighter Futures For Life with Allkin),0,0,0
Allkin Singapore Ltd.,Help vulnerable communities thrive in life,5,18,0
Allkin Singapore Ltd.,Bring hope to vulnerable women in the community,2,6,2
Allkin Singapore Ltd.,Unlock opportunities for disadvantaged students to succeed,2,52,0
Allkin Singapore Ltd.,Help vulnerable communities open doors to a brighter tomorrow ,0,0,0
Allkin Singapore Ltd.,AMKFSC 45th Anniversary Charity Dinner,0,0,0
Allkin Singapore Ltd.,Support Our Community In Need,11,153,2
Allkin Singapore Ltd.,Help children from low-income families like Marcus fulfil their potential! ,9,610,2
Deaf Sports Association Singapore,Sports Development for the Deaf & Hard-of-Hearing in Singapore,2,22,0
Deaf Sports Association Singapore,National Deaf Games 2019,2,60,2
Canossaville Children and Community Services,Be Christ to the Poor,12,1561,8
Canossaville Children and Community Services,Dollar Match: Support Canossaville Student Care #CSC23,12,5260,0
Canossaville Children and Community Services,Dollar Match: BAM! Fund #BAM23,0,0,0
Canossaville Children and Community Services,Dollar Match: Together We Make A Difference! #MAD23,3,680,2
Canossaville Children and Community Services,Dollar Match: The Never Ending Gift 2023 #NEG23,6,10850,3
Canossaville Children and Community Services,Lent 2022: Little Acts of Love #M.A.D,5,342,2
Canossaville Children and Community Services,Lent 2022: Little Acts of Love #M.A.D,0,0,0
Free Food For All Limited,Give something to those who have nothing by recurring GIRO,0,0,0
Free Food For All Limited,Ramadan Porridge Distribution,424,17191,100
Free Food For All Limited,Daily Dinner Delivery,11,186,2
Free Food For All Limited,Food Aid,14,325,2
Free Food For All Limited,Thank You For Helping Us Feed Them,597,21622,119
Free Food For All Limited,Dates For You - A Ramadan Campaign by FFFA,31,1050,7
Free Food For All Limited,Ramadan - A Lesson in Compassion,21,720,5
Free Food For All Limited,Monthly Groceries for Cancer-Stricken Families,171,4122,31
Free Food For All Limited,Wheels Unite For Our Neighbours,1,20,1
Free Food For All Limited,The Gift of a Meal This National Day,1,10,0
Free Food For All Limited,Madam Tan saved her granddaughter from child abuse. Will you help them?,183,9006,50
Free Food For All Limited,Help feed the unsung heroes,0,0,0
Free Food For All Limited," COVID-19 Ready-To-Eat Meals for the Needy - Eat Good, Do Good!",1786,87861,567
Free Food For All Limited,Don't Leave These Children Hungry! Support Our KidsLuvIt Breakfast Programme,741,34449,249
Free Food For All Limited,Buy A Meal For The Elderly. They don't have to go hungry.,551,26111,135
Free Food For All Limited,Nourish & Empower: Supporting Learners from the underserved communities,2,77,1
Free Food For All Limited,Let's spread kindness to people around us,23,70,0
Free Food For All Limited,Compassion 2021GraciousGoodieBags Ramadan Campaign #fundafamilyafeast,54,2345,22
Free Food For All Limited,Just one meal is all it takes to spread the love to our community,0,0,0
Free Food For All Limited,"Uniting Hearts: Fundraising Campaign for 8,800 Mutton Biryani Distribution",16,639,8
Free Food For All Limited,#ChooseKindness Ramadan Campaign 2022,101,3034,19
Action For Singapore Dogs Society,Lonzo Lives To Fight Another Day,128,4519,59
Action For Singapore Dogs Society,Help These Dogs Find A Forever Home,44,2029,24
Action For Singapore Dogs Society,Let's Create Hope for Zeus,205,7891,89
Action For Singapore Dogs Society,Let’s Help Winfield Get Better!,52,2745,27
Action For Singapore Dogs Society,Will you be Hero's hero?,216,9958,97
Action For Singapore Dogs Society,Our 6 Rescued Dogs Need Your Support,58,3405,23
Action For Singapore Dogs Society,Please Help To Save Rudolf's Leg,7,350,3
Oasis Second Chance Animal Shelter Ltd,Save Tian Tian from Maggot Infestation,83,3000,38
Oasis Second Chance Animal Shelter Ltd,Tick fever is killing our Lammy. Will you help rescue him?,16,600,9
Oasis Second Chance Animal Shelter Ltd,Help Phoenix Walk Again!,1,40,1
HCSA Community Services,Empowering HCSA Families,0,0,0
HCSA Community Services,Strengthening HCSA Families,3,600,0
Assisi Hospice,Bring comfort and cheer to patients this Chinese New Year,9,495,5
Assisi Hospice,Support us as we meet patients’ needs at their end-of-life,2,200,1
Children's Aid Society,Silent Auction - Dine for Good 2024,0,0,0
Children's Aid Society,Dine for Good 2024,5,650,2
Children's Aid Society,Angbao for Good 2024,0,0,0
Children's Aid Society,Dine for Good 2023,12,4824,3
Children's Aid Society,Raffle Draw Tickets and Sale of Items - Dine for Good 2023,15,1980,0
The Singapore Association for the Deaf,SADeaf Charity Golf,0,0,0
The Singapore Association for the Deaf,SADeaf's 68th Anniversary,0,0,0
The Singapore Association for the Deaf,Wash for the Deaf,4,162,1
The Singapore Association for the Deaf,Silent Night,0,0,0
The Singapore Association for the Deaf,Bake for the Deaf 2023,0,0,0
The Singapore Association for the Deaf,Signs will Shine Gala Dinner 2023,11,3198,0
The Singapore Association for the Deaf,Hearts Can Hear - 68th Charity Concert,0,0,0
The Singapore Association for the Deaf,Merdeaf Flag Day 2024,0,0,0
The Singapore Association for the Deaf,Huat For The Deaf,1,20,1
The Singapore Association for the Deaf,Empower Children Like Wen Xi with Early Intervention and Essential Assistance #SADeaf68th,10,351,1
The Singapore Association for the Deaf,Deafinitely Durian 2024,0,0,0
Caregiving Welfare Association,Caregiving Week 2024: A Lifeline For Seniors,17,13000,5
"RAINBOW CENTRE, SINGAPORE",Together We Thrive,0,0,0
"RAINBOW CENTRE, SINGAPORE",CURIO: An Art Fundraiser Showcase,0,0,0
THE HUT LIMITED,EO Singapore Handover Gala 2024,3,562,1
THE HUT LIMITED,[Live Auction] EO Singapore Handover Gala 2024,4,13564,0
Club HEAL,Ramadan 2024: Help Build Bridges to Mental Health Support,12,695,3
"LOVE, NILS LTD.",Stories of Hope - Supporting children with cancer in their journey and creating a brighter future,0,0,0
"LOVE, NILS LTD.",Shine a Light - No child should face the nightmare of cancer alone.,1,80,0
"LOVE, NILS LTD.","LOVE, NILS SHINE-A-LIGHT Charity Dinner 2024",0,0,0
"LOVE, NILS LTD.",[Auction] Stories of Hope - Supporting children with cancer in their journey and creating a brighter future,10,1892,0
Children-At-Risk Empowerment Association,Make the change to help a child,0,0,0
Children-At-Risk Empowerment Association,Make a donationm change a life,1,50,0
Club Rainbow (Singapore),Essential support for vulnerable families #GiftHope2Families,1,50,0
Club Rainbow (Singapore),Support A Future with No Label #TalentDevelopment #CharitySales2024 #CRSMerchSales ,0,0,0
Club Rainbow (Singapore),SVCA Cares: Hopeful Hearts Raffle @ SVCA Annual Gala & Awards Dinner #CRSUnited #SVCA ,1,5,0
Club Rainbow (Singapore),Hope for Tomorrow: Partner with Us to Support Children with Chronic Illnesses #CRSUnited,0,0,0
Club Rainbow (Singapore),NUS FASS CARES - 95th Anniversary #CRSUnited,0,0,0
Club Rainbow (Singapore),Ramadan Kareem: Spreading Hope and Support for Low-Income Families #GiftHope2Families,1,70,0
Club Rainbow (Singapore),Together Towards Tomorrow - Giving Back @ 26th Frasers Day Fiesta #GiftHope2Families,63,3146,18
SOSD ,SOSD Rehabilitation Centre (SRC) 2024,0,0,0
SOSD ,SOSD Medical Fundraiser for Rescue Dogs 2024,10,1020,2
SOSD ,Jurong Island Trap Neuter Release Manage Programme 2024,85,4560,34
SOSD ,SOSD Rehabilitation Centre (SRC),48,6885,14
SOSD ,SOSD Medical Fundraiser for Rescue Dogs ,55,5971,23
SOSD ,SOSD Short Stories ,51,22786.6,19
Ascending Hope Community Services Ltd.,Food For Hope 2024 by Ascending Hope,23,1061,11
Ascending Hope Community Services Ltd.,[Mother's Day] Will you please donate $18 to buy economic rice for a struggling mother today?,1,36,0
Ascending Hope Community Services Ltd.,Home For Hope by Ascending Hope,21,578,6
Ascending Hope Community Services Ltd.,Ascending Hope Charity Dinner 2023,3,102,0
SHINE Children and Youth Services,Empower Youth: Support ESU Program,1,1,0
SHINE Children and Youth Services,"Create Brighter Futures Through Children, Youth, Family Therapy Service",1,100,1
SHINE Children and Youth Services,"Create joy, hope, & happiness for children & youth in need",1,100,1
SHINE Children and Youth Services,The Urgent Need for Youth Mental Health Support,0,0,0
Singapore Book Council Limited,Support SBC! Keep Singapore Stories Alive,24,10385,13
Babes Pregnancy Crisis Support Ltd,Dollar Matching: Babes at Boutique Fairs!,0,0,0
Babes Pregnancy Crisis Support Ltd,Dollar Matching: Babes x Henna Me Pretty,0,0,0
Babes Pregnancy Crisis Support Ltd,Dollar Matching: Babes x Asher Knot,0,0,0
Babes Pregnancy Crisis Support Ltd,Dollar Matching: Dreams Unwrapped!,0,0,0
Chen Su Lan Methodist Children's Home,Christmas Cheer for our Children,0,0,0
Chen Su Lan Methodist Children's Home,"CSLMCH: Healing Hearts, Building Souls",0,0,0
Chen Su Lan Methodist Children's Home,CSLMCH: Bringing Joy To Every Child This Christmas,0,0,0
Chen Su Lan Methodist Children's Home,"CSLMCH: Bless a Child, Gift a Hong Bao 2024",0,0,0
Dyslexia Association of Singapore,DAS Charity Golf & Dinner 2024,7,26200,0
Dyslexia Association of Singapore,STEP UP for Learning Differences - Walk with Roy,4,150,1
Dyslexia Association of Singapore,Empower Disadvantaged Individuals with Learning Differences! #ilearndifferently #embracelearningdifferences,22,3511,6
Dyslexia Association of Singapore,Gift of Wonders - DAS Student Talent Showcase,26,8070,14
Yong-en Care Centre,Yong-en's Seniors ,1,10,0
Yong-en Care Centre,Yong-en's Families,13,5622,3
Yong-en Care Centre,"With Love, Chinatown",1,200,0
Yong-en Care Centre,Yong-en's 22nd Charity Golf 2024,23,21541,1
Volleyball Association of Singapore,"""UPPLAY: Dare To Dream"" - Towards 2029!",18,96160,6
Volleyball Association of Singapore,62nd Anniversary Fund Raising Campaign,54,26626,12
Resilience Collective Ltd,My Name Is,1,1,0
Resilience Collective Ltd,"Breaking Down Stigma, Building Connectedness",1,100,0
Resilience Collective Ltd,Celebrating The People of Resilience,12,91210,7
Renal Health Services Limited,Renal Health Services (RHS) general fund,1,100,0
Renal Health Services Limited,COVID-19 Vaccination awareness ,0,0,0
Renal Health Services Limited,Kidney Disease Screening and Preventative Guidance,0,0,0
Renal Health Services Limited,Kidney Care Innovation Through Research and Studies,0,0,0
Renal Health Services Limited,Kidney Disease Treatments and Solutions Through Early Access Programs,1,1,0
Renal Health Services Limited,Depression in kidney failure,1,8,0
 Friends of the Disabled Society,Home Visitation: Fostering Hope for Families with Disabilities,0,0,0
 Friends of the Disabled Society,"Danxability - Breaking Barriers , Inspiring Rhythms",0,0,0
 Friends of the Disabled Society,Help individuals with disabilities learn new skills and achieve independence,0,0,0
 Friends of the Disabled Society,Skills for Life: Nurturing Fulfilling Paths for People with Disabilities,0,0,0
 Friends of the Disabled Society,Support our Mental Wellness Programme for individuals with disabilities,1,10,0
Habitat for Humanity Singapore Ltd,Help the vulnerable have a decent home for Christmas,0,0,0
KampungKakis Limited,Building a Brighter Future for Isolated Seniors,4,158,2
SingYouth Hub,Train the trainer program_Niji craft workshop (Towards Skillsfuture),0,0,0
SingYouth Hub,Train the trainer program by Craftpreneurs of SG for SingYouth Hub,6,290,0
SingYouth Hub,Learning Niji fruits photo-frame to support the seniors,0,0,0
SingYouth Hub,Project Lit Vibes Part 2 (MHFA),0,0,0
SingYouth Hub,Season of Giving_DIY your own Christmas gift for your friend or love ones,0,0,0
Special Olympics Singapore,Special Olympics Singapore Young Athletes,0,0,0
TRYBE LIMITED,Help Subsidise Youths through Counselling & Therapy,0,0,0
TRYBE LIMITED,Only 10-A-Month,5,310,0
TRYBE LIMITED,From Silence to Strength,0,0,0
TRYBE LIMITED,Nurturing Futures: Trybe's Supportive Guidance for Youth-at-risk in Singapore 🌱 Counselling & Therapies that Empower!,3,95,3
TRYBE LIMITED,Mindful Giving for Mental Health,1,100,1
TRYBE LIMITED,WellYES: Mental Health Hero,15,2381.9,0
TRYBE LIMITED,Spin Up for Youth Mental Wellness!,32,1650,8
Nam Hwa Opera Limited, Teochew Opera For The Future,15,771,5
Autism Association (Singapore),Eden Care Fund,12,1004,5
St Luke's ElderCare Ltd,Going The Extra Mile To Help The Elders,11,380,2
Lions Befrienders Service Association (Singapore),Overcoming COVID-19: 6000 at-risk Elderly Fund,147,10054,52
Lions Befrienders Service Association (Singapore),Share Your Festive Joy to UNLONELY seniors,50,344,0
Lions Befrienders Service Association (Singapore),"I am not afraid to die, BUT NOT ALONE!",2,40,1
Lions Befrienders Service Association (Singapore),All Alone at 70 (Lions Befrienders Charity Draw),2,18,1
Lions Befrienders Service Association (Singapore),Help UNLONELY Seniors Stay Connected! (E-Flag Day 2022),8,31,4
Lions Befrienders Service Association (Singapore),Forget-Me-Not in COVID-19 Pandemic,45,1663,18
Lions Befrienders Service Association (Singapore),Lonely At-Risk Ah Gong Ah Ma Need You!,60,4157,23
Lions Befrienders Service Association (Singapore),Honouring Our Pioneer Seniors!,14,658,8
Lions Befrienders Service Association (Singapore),Prevent Loneliness and Depression in Seniors: eFlag Day 2020,5,230,1
Lions Befrienders Service Association (Singapore),"Christmas Gift of Joy, MP3 Radios 4 Lonely Seniors",7,360,2
Lions Befrienders Service Association (Singapore),Bring Joy to Seniors this 牛 (New) Year!,156,6284,45
Lions Befrienders Service Association (Singapore),Gift of Joy to Lonely Seniors,15,108,6
Lions Befrienders Service Association (Singapore),"I'm not afraid to die, BUT NOT ALONE!",0,0,0
Lions Befrienders Service Association (Singapore),Forget-Me-Not,117,5369,40
Lions Befrienders Service Association (Singapore),Pandemic Isolation Hard to Cope for Elderly,2,60,1
Lions Befrienders Service Association (Singapore),Swing Off Loneliness,0,0,0
Lions Befrienders Service Association (Singapore),Treasure the Forgotten Seniors!,51,2230,16
Lions Befrienders Service Association (Singapore),Be a Santa2Seniors this X'mas!,2,60,1
Lions Befrienders Service Association (Singapore),eFlag Day 2021: Shield Seniors from Loneliness and Heightened Isolation,1,1,1
Lions Befrienders Service Association (Singapore),Bless Vulnerable Seniors with a Roaring Tiger Year!,1,10,1
Lions Befrienders Service Association (Singapore),"Have you ever said, ""I love you, Dad""?",4,258,1
Morning Star Community Services Ltd,Covid-19 Fund to help Families in Need,20,856,6
Down Syndrome Association (Singapore),Mystique XIII - DSA(S) Charity Gala Dinner (Event Sponsorship),5,7728,0
Down Syndrome Association (Singapore),DSA(S) x Tom's Palette Ice Cream Charity Buffet: 1PM-2PM,12,945,2
Down Syndrome Association (Singapore),Gift of Empowerment,26,10257,5
Down Syndrome Association (Singapore),Mystique XIII - DSA(S) Charity Gala Dinner (General Donations),2,3200,1
Down Syndrome Association (Singapore),DSA(S) x Tom's Palette Ice Cream Charity Buffet: 11AM-12PM,7,780,0
Down Syndrome Association (Singapore),Mystique XIII - DSA(S) Charity Gala Dinner (Raffle Draw),2,100,0
Down Syndrome Association (Singapore),Share Your Angpow Blessings and Empower Our Adults with Down syndrome,5,92,1
Down Syndrome Association (Singapore),World Down Syndrome Day 2020 - Community Walk registration,4,100,1
Down Syndrome Association (Singapore),"World Down Syndrome Day 2020 - ""We Decide""",9,1831,6
Down Syndrome Association (Singapore),Rock Your Socks!,13,337,5
Down Syndrome Association (Singapore),#1- DSA's Charity Gala Dinner Mystique 2023: Dance-Off!,1,20,1
Down Syndrome Association (Singapore),#2 - DSA's Charity Gala Dinner Mystique 2023: Dance-Off!,0,0,0
Down Syndrome Association (Singapore),Share Your Love,51,4102,15
Down Syndrome Association (Singapore),#3 - DSA's Charity Gala Dinner Mystique 2023: Dance-Off!,2,100,0
Down Syndrome Association (Singapore),#4 - DSA's Charity Gala Dinner Mystique 2023: Dance-Off!,2,300,0
Down Syndrome Association (Singapore),#5 - DSA's Charity Gala Dinner Mystique 2023: Dance-Off!,6,508,3
Down Syndrome Association (Singapore),Give a Gift of Joy x Down Syndrome Association (Singapore),5,92,2
Down Syndrome Association (Singapore),DSA Charity Movie 2023,0,0,0
Down Syndrome Association (Singapore),Give the Gift of Empowerment,5,150,1
Down Syndrome Association (Singapore),World Down Syndrome Day 2021,5,770,2
Down Syndrome Association (Singapore),Pledge an e-hongbao to DSA,1,10,1
Down Syndrome Association (Singapore),DSA Mystique Charity Dinner 2023,0,0,0
Down Syndrome Association (Singapore),Stand Up for Down syndrome,46,1760,7
Down Syndrome Association (Singapore),Walking towards an inclusive community: Give A Gift of Hope this Christmas,9,460,4
Down Syndrome Association (Singapore),World Down Syndrome Day 2023,26,1479,5
Down Syndrome Association (Singapore),Down Syndrome Association - Share Your Angpow Blessings,7,255,3
